epoch,train_loss,val_loss,val_acc,val_auc,val_f2,lr
1,0.39578654425484794,1.1862232685089111,0.7333333333333333,0.7644444444444445,0.6338028169014085,0.00029953760005996916
2,0.12008091296468462,1.6675784587860107,0.7,0.7777777777777778,0.8125,0.00029815325108927063
3,0.16367529960615293,2.1763224601745605,0.7,0.8266666666666667,0.8536585365853658,0.0002958554880596515
4,0.07619015416130423,1.7450498342514038,0.8666666666666667,0.8977777777777778,0.9493670886075949,0.00029265847744427303
5,0.15543904008528833,1.2699973583221436,0.9,0.9177777777777778,0.9615384615384616,0.000288581929876693
6,0.13577848554996308,0.8815223574638367,0.8666666666666667,0.9466666666666668,0.9090909090909091,0.0002836509786282552
7,0.11344973654572722,0.5504821538925171,0.8666666666666667,0.9466666666666668,0.8666666666666667,0.00027789602465311383
8,0.0073144241433267,0.7276430726051331,0.8333333333333334,0.9422222222222223,0.8552631578947368,0.0002713525491562421
9,0.044155395531561226,1.6450961828231812,0.7666666666666667,0.8911111111111112,0.8333333333333334,0.00026406089484000466
10,0.058572098057317945,1.4138524532318115,0.8666666666666667,0.8955555555555557,0.8666666666666667,0.0002560660171779821
11,0.02748282312562398,1.260736346244812,0.8666666666666667,0.9044444444444445,0.8666666666666667,0.0002474172072495276
12,0.03316209025397329,1.2838290929794312,0.8,0.9066666666666667,0.8,0.000238167787843871
13,0.004771591657963685,1.443228006362915,0.7666666666666667,0.9066666666666667,0.7432432432432432,0.00022837478470739232
14,0.020430457308336664,1.5909403562545776,0.8,0.9,0.8,0.000218098574960932
